,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
2.3.1.168,213,2529,105,468,480,336,1021,604,322,237,11,262,39,206,96,306,75,1182,169,57,326,127,251,144,141,231,448
1.13.11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5.5.1,236,51,20,111,1,34,72,47,49,3,10,34,53,48,1,4,16,20,3,41,8,28,4,21,35,20,41
3.4.13.20,110,249,28,78,0,132,133,89,126,62,79,118,120,75,77,36,127,103,107,124,67,84,37,287,38,33,338
1.1.99.1,0,0,9,6,0,32,3,11,2,1,92,56,0,1,4,0,26,20,2,46,0,39,18,12,12,5,4
4.1.1.82,6,12,31,212,0,49,22,91,22,8,38,46,2,2,2,5,38,50,198,54,27,70,5,44,2,52,68
4.1.2.43,1,1,16,2,0,30,9,4,5,3,4,9,0,3,0,0,15,14,7,9,0,6,0,36,2,1,21
1.3.1.86,0,0,4,1,0,0,4,1,4,1,0,0,18,0,0,0,1,4,4,5,0,6,0,0,0,6,11
1.2.1.38,113,278,419,295,0,683,427,282,159,21,1,441,439,84,5,52,36,349,67,66,21,74,82,160,6,159,256
3.2.1.155,2,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2.1.41,0,0,2,0,0,2,1,0,0,0,48,2,1,0,0,0,1,0,3,3,0,2,0,0,0,0,0
1.14.13.20,4,0,6,5,0,165,20,44,51,369,4,11,3,1,6,1,0,95,35,27,72,15,50,2,3,0,89
1.1.1.53,0,1,2,3,0,178,10,14,6,2,6,19,0,0,5,0,29,18,3,9,1,5,1,5,1,0,33
1.7.1.1,12,42,26,1,0,2,1,1,14,1,5,4,29,0,0,0,5,0,1,4,0,11,0,10,2,0,12
5.4.99.21,0,643,843,118,0,79,112,111,34,27,6,45,11,1,102,0,104,91,3,13,0,27,0,202,20,44,83
5.99.1.2,111,746,232,48,12,139,71,112,93,56,7,308,82,89,102,159,465,200,71,301,80,191,114,1260,93,235,996
1.14.13.25,0,0,0,1,0,39,0,3,0,1,27,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1
1.1.5.-,8,0,5,0,0,10,8,7,2,3,9,40,0,1,78,1,49,5,16,12,0,6,0,14,3,5,23
3.5.1.83,0,0,1,0,0,11,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5.2.9,11,12,6,8,0,9,18,12,12,2,17,82,42,1,73,4,17,12,12,17,0,23,0,67,3,26,40
3.4.17.13,4,219,30,17,154,62,149,39,70,16,0,24,8,18,7,43,26,93,8,17,2,33,1,26,11,2,189
1.4.3.4,13,45,12,71,1,110,46,40,10,36,3,11,3,2,63,0,56,65,7,27,12,21,11,40,23,156,44
1.1.99.3,44,29,70,16,3,71,38,25,19,11,10,177,50,38,24,63,222,43,90,109,9,52,18,269,151,54,130
3.4.13.19,336,152,121,563,0,665,219,328,490,190,843,314,210,338,347,267,508,408,566,530,85,415,55,185,92,99,639
1.1.3.15,6,131,63,160,0,57,1,7,10,23,5,20,12,1,4,60,5,16,1,24,38,24,0,28,17,6,2
3.5.4.1,45,31,18,50,0,5,24,2,12,1,0,14,35,0,2,1,30,6,37,17,0,15,0,12,11,25,14
1.14.13.50,48,1,7,4,1,17,5,6,0,0,0,8,0,2,2,5,18,13,4,5,0,0,0,5,0,1,2
